Reaction Duration (min),SiC thickness (mu-m),Literature,,,
20,15.5,Voy,,,
120,17.8,Voy,,,
360,16.8,Voy,,,
10,11,Voy,,,
30,15,Voy,,,
10,9.8,Roger,,,
20,10.8,Roger,,,
60,11,Roger,,,
30,11.1,Roger,,,
5,7.5,Roger,,,
10,4.8,Favre,,,
30,7,Favre,,,
60,7,Favre,,,
70,6.5,Favre,,,
90,7,Favre,,,
10,12,Deike,,,
20,15,Deike,,,
60,17.5,Deike,,,
360,23.5,Deike,,,
15,7.8,Zhou,,,
20,8.5,Zhou,,,
20,8,Zhou,,,
20,10,Zhou,,,
15,4.1,Zhou,,,
50,8,Zhou,,,
80,8,Zhou,,,
120,8.1,Zhou,,,
120,9.8,Zhou,,,
120,10.5,Zhou,,,
180,8.5,Zhou,,,
180,11,Zhou,,,
300,12,Zhou,,,
5,1.1,Martinez,,,
10,2,Martinez,,,
15,3.5,Martinez,,,
20,6.8,Martinez,,,
35,7.5,Martinez,,,
60,9.8,Martinez,,,
90,11.5,Martinez,,,
120,12,Martinez,,,
180,15.5,Martinez,,,
240,17,Martinez,,,
